latitude,longitude,tweets
60.449325,22.259231,414
59.913869,10.752245,499
56.339316,-2.7965,519
55.864237,-4.251806,3223
55.600029,-2.432207,108
55.049801,-8.228704,782
54.998153,-8.291505,221
54.996612,-7.308575,2342
54.987434,-8.535058,332
54.866115,-7.995409,2408
54.84403,-6.67214,190
54.597285,-5.930120,24621
54.596570,-7.306910,436
54.509720,-6.037400,305
54.478705,-6.403888,2635
54.451352,-7.712502,140
54.348750,-6.651610,3813
54.341291,-5.748485,20
54.277889,-7.066951,140
54.276610,-8.476089,177
54.272662,-6.488687,252
54.25880,-8.57320,153
54.249243,-6.968308,1673
54.180060,-6.333930,258
54.132557,-6.359163,341
53.997945,-6.405957,204
53.992601,-8.065585,377
53.990605,-7.362941,129
53.934581,-9.351646,3772
53.906874,-6.805223,176
53.83441,-7.081322,1908
53.801279,-1.548567,1075
53.702784,-9.808252,348
53.657690,-6.667707,869
53.627591,-8.189096,409
53.525933,-7.338138,97
53.517988,-8.855627,423
53.511152,-6.397382,215
53.479251,-2.247926,816
53.479251,-2.247926,382
53.455747,-6.219741,2490
53.408371,-2.991573,715
53.382837,-6.276290,188
53.381290,-6.591850,2231
53.381129,-1.470085,191
53.381129,-1.470085,1
53.373652,-6.358419,230
53.363843,-6.490003,854
53.349805,-6.260310,72290
53.349805,-6.260310,391
53.341932,-9.615275,387
53.333333,-3.083333,609
53.33105,-4.376968,1381
53.328762,-8.226947,183
53.324061,-3.827609,597
53.316687,-3.765209,2382
53.313353,-6.341363,200
53.308051,-3.749941,874
53.293182,-3.72764,1799
53.292790,-6.141937,89
53.287939,-9.549955,3566
53.287553,-3.642969,318
53.286590,-6.366588,320
53.284355,-3.581405,1820
53.28333,-3.833333,3994
53.282872,-3.82948,5423
53.281731,-6.466167,135
53.281435,-3.241424,2440
53.277911,-6.105844,380
53.270559,-9.056668,25700
53.26928,-4.321285,33849
53.268083,-3.7935,2554
53.264108,-9.598267,4337
53.257975,-3.443728,312
53.255785,-4.311402,4691
53.252813,-3.975109,992
53.252782,-9.514605,1376
53.249217,-9.277513,3255
53.249180,-9.204950,4423
53.242458,-3.11919,1065
53.240311,-9.465549,1736
53.235693,-4.345801,842
53.22739,-4.129263,27596
53.224622,-4.197995,2306
53.22199,-4.281381,273
53.211588,-4.159899,499
53.193392,-2.893075,785
53.183906,-3.425002,1382
53.181052,-4.212695,6442
53.180068,-4.270603,1861
53.178927,-4.058833,3321
53.178168,-3.596359,1610
53.17005,-3.081488,1100
53.167203,-3.141903,1548
53.16313,-4.212325,9262
53.158934,-6.909568,1057
53.154659,-6.779817,496
53.154479,-4.177936,539
53.154198,-3.309863,948
53.149734,-3.417586,916
53.147852,-4.194649,3995
53.139551,-4.273911,82632
53.137033,-3.795732,4199
53.136572,-3.337721,1438
53.130937,-4.240614,2137
53.118033,-4.127549,8626
53.117104,-4.287154,386
53.116002,-4.268163,3060
53.114725,-3.310874,1242
53.110485,-4.206658,522
53.106152,-3.91236,638
53.090636,-4.231281,324
53.089918,-3.80065,1061
53.083333,-4.083333,2822
53.083333,-4.05,479
53.079079,-4.313792,859
53.076701,-4.280573,3240
53.05459,-4.283645,2411
53.053408,-4.25606,2315
53.04875,-3.680885,713
53.047479,-4.336862,732
53.044148,-4.283055,6968
53.04304,-2.992494,5388
53.039249,-3.79964,513
53.037941,-3.588402,3050
53.022409,-3.729895,1549
53.020583,-4.364979,705
52.998337,-3.944894,4149
52.992992,-4.427481,1187
52.980821,-6.044589,29628
52.97622,-4.405328,390
52.968285,-3.446331,5242
52.960663,-7.201463,530
52.960504,-4.447881,648
52.959065,-3.933458,1079
52.958934,-4.199001,636
52.954783,-1.158109,440
52.953762,-2.869917,377
52.951762,-4.051456,353
52.938733,-3.958852,1746
52.934569,-4.555834,987
52.931492,-4.454263,446
52.92924,-4.067134,432
52.927842,-4.133384,7907
52.919911,-4.330451,553
52.919565,-4.233645,4877
52.912524,-0.643582,609
52.909911,-3.601584,5325
52.904127,-4.062969,1883
52.903732,-3.927315,960
52.888816,-4.417634,5968
52.866667,-4.5,15232
52.857872,-4.484416,380
52.855076,-3.668298,8187
52.85201,-4.514739,2125
52.851572,-4.583756,2458
52.847425,-8.988738,1246
52.836507,-6.934136,1124
52.826174,-3.301967,1429
52.824497,-4.50536,3986
52.797693,-6.159929,130
52.74215,-3.8844,7426
52.724112,-3.688959,4274
52.685018,-3.456812,3301
52.682823,-9.644412,512
52.675484,-3.429018,4198
52.668020,-8.630498,1693
52.661186,-8.625735,476
52.660348,-3.146407,712
52.654145,-7.244788,219
52.628549,-4.06985,417
52.621302,-8.005161,299
52.61207,-3.627605,551
52.590273,-3.853485,1737
52.555507,-3.530587,799
52.485205,-3.986391,6447
52.465265,-4.022636,1088
52.433386,-3.969084,688
52.415303,-4.08292,64240
52.381599,-3.922482,8256
52.355817,-7.690255,219
52.336916,-6.463338,1657
52.328557,-4.112553,492
52.301537,-3.510641,3171
52.278077,-3.829863,405
52.27131,-9.699932,265
52.252270,-7.127206,2008
52.2417,-3.377742,1721
52.219998,-3.934385,1484
52.209872,-4.194867,430
52.20399,-4.293585,2425
52.185171,-4.15998,919
52.175064,-10.363936,193
52.174012,-4.25794,1710
52.170954,-4.165488,341
52.167894,-9.525986,289
52.160501,-4.301919,1732
52.159897,-4.466886,1262
52.15936,-4.433785,4958
52.143087,-3.373682,2398
52.138761,-10.270536,460
52.135974,-0.466656,369
52.135818,-7.937680,93
52.135795,-4.30137,393
52.130074,-10.450284,251
52.112903,-4.078509,1256
52.093676,-7.620363,3930
52.09179,5.11457,379
52.08493,-4.13931,340
52.083703,-4.660864,2738
52.074885,-4.157826,343
52.062678,-4.601234,427
52.059935,-9.504427,123
52.047890,-7.582437,556
52.041675,-4.309198,1458
52.037442,-4.468711,2110
52.036633,-4.200672,919
51.99825,-4.243239,2475
51.985162,-4.284689,4826
51.975551,-3.992338,1691
51.974284,-4.646704,2444
51.951833,-4.14701,1126
51.950274,-9.158524,1131
51.937404,-4.301702,2309
51.924417,-9.213782,3792
51.924216,4.481776,40
51.922965,-4.053418,554
51.910591,-4.788986,522
51.896892,-8.486316,5478
51.88469,-3.99143,3954
51.875708,-4.939193,10164
51.866715,-4.102519,879
51.864245,-2.238156,3210
51.861484,-4.131084,668
51.85762,-4.312131,28105
51.805452,-3.922671,5250
51.799894,-4.136441,2262
51.792888,-3.988459,494
51.766823,-3.159627,343
51.755267,-4.116704,877
51.752021,-1.257726,298
51.749598,-4.279998,663
51.74873,-3.381646,1165
51.747112,-4.91223,5242
51.7306,-3.48812,796
51.721203,-3.355544,1258
51.720435,-3.853215,514
51.716154,-3.451816,501
51.714108,-3.843856,623
51.703915,-3.312749,789
51.700369,-3.045268,404
51.696162,-4.083864,723
51.691894,-4.943763,510
51.691573,-4.286183,473
51.683157,-3.817567,1423
51.680886,-4.160248,9491
51.673416,-3.886589,465
51.668935,-3.195787,445
51.662082,-3.946232,552
51.656991,-3.805476,3284
